"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"USC00046635","PALM SPRINGS, CA US","2011-01-02",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-01-04",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-01-05",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-01-06",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-01-07",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-01-08",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-01-10",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-01-11",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-01-13",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-01-16",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-01-17",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-01-23",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-01-25",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-01-27",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-01-30",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-02-01",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-02-03",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-02-05",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-02-07",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-02-08",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-02-09",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-02-10",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-02-12",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-02-14",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-02-17",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-02-18",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-02-21",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-02-24",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-02-25",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-02-26",,,"0.01",,
"USC00046635","PALM SPRINGS, CA US","2011-02-28",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-03-01",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-03-06",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-03-10",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-03-11",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-03-13",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-03-16",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-03-18",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-03-20",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-03-21",,,"0.42",,
"USC00046635","PALM SPRINGS, CA US","2011-03-22",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-03-25",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-03-26",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-03-27",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-03-29",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-03-30",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-03-31",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-01",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-02",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-03",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-04",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-06",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-07",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-08",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-09",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-11",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-12",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-14",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-15",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-16",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-18",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-19",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-20",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-24",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-25",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-26",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-27",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-28",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-29",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-04-30",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-05-01",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-05-02",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-05-03",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-05-04",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-05-07",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-05-08",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-05-11",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-05-12",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-05-15",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-05-18",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-05-19",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-05-20",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-05-21",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-05-24",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-05-25",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-05-26",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-05-27",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-05-31",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-06-01",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-06-02",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-06-04",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-06-06",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-06-11",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-06-12",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-06-13",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-06-14",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-06-15",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-06-17",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-06-18",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-06-19",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-06-21",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-06-22",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-06-24",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-06-25",,,"0.00",,
"USC00046635","PALM SPRINGS, CA US","2011-06-30",,,"0.00",,
