"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-01",,,"0.18",,
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-02",,,"0.20",,
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-03",,,"0.19",,
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-04",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-05",,,"0.02",,
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-06",,,"0.01",,
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-07",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-08",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-09",,,"0.01",,
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-10",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-11",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-12",,,"0.04",,
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-13",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-14",,,"0.07",,
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-15",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-16",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-17",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-18",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-19",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-20",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-21",,,"0.02",,
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-22",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-23",,,"0.01",,
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-24",,,"0.01",,
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-25",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-26",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-27",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-28",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-29",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-30",,,"0.14",,
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-01-31",,,"0.18",,
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-02-01",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-02-02",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-02-03",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-02-04",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-02-05",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-02-06",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-02-07",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-02-08",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-02-09",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-02-10",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-02-11",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-02-12",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-02-13",,,"0.00","0.0",
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-02-14",,,"0.01",,
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011-02-15",,,"0.01",,
